n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,n units 6000,True Effect
0.5767270530899619,0.3243255152967348,0.3902532410824316,0.4939823564362961,0.4752009420186894,0.5080010339979886,0.4756896859405045,0.4488968
0.3372705992671517,0.3276869478864438,0.4345206975174133,0.3273483261129404,0.3293229036429059,0.543562244490379,0.5151757137456237,0.4488968
0.410224104901397,0.4684383808398258,0.537008725827736,0.4563691733859107,0.4517717226745439,0.507749775429538,0.5003376245898898,0.4488968
0.4294498748748572,0.4589788277614424,0.4076898415422809,0.4657632651897546,0.5078429266950248,0.5330719903400505,0.4652262822677756,0.4488968
0.46406046876224,0.4874439549685773,0.3751852450799438,0.362820965640893,0.5273181628933751,0.4844864661899866,0.4437931061887292,0.4488968
0.322151589713548,0.35093727638897,0.4369826435966883,0.355830312331722,0.3835569162717296,0.4131808858987985,0.5353852657529693,0.4488968
0.2385330422824655,0.4012422309479325,0.500627480098725,0.4261535977199602,0.4311066367582642,0.5446156399433102,0.463660247795884,0.4488968
0.5578026660017388,0.3498966905144023,0.3239938812513279,0.4949906654473322,0.4739291702298519,0.4429133402669699,0.4933803391381804,0.4488968
0.4175397472593543,0.3586748925404719,0.4424097881968439,0.4885042542710714,0.4996586157527815,0.4146100503004482,0.4549195903999665,0.4488968
0.2606006416284548,0.4431077097995159,0.4327351738081595,0.4571610294282132,0.4968145602211415,0.4693084781662294,0.3923358975639396,0.4488968
0.3892863177839655,0.1779031146549278,0.4666594481098515,0.5862827886151015,0.5318484240536756,0.4455645305713479,0.480771176421038,0.4488968
0.1282198109349733,0.4715480768931975,0.2542305896040397,0.3988642121702496,0.546727058368722,0.5241844996083206,0.492385275459955,0.4488968
0.4158371890994685,0.5109172730200583,0.3632481242286625,0.3899346470738908,0.4633522388160311,0.500135538175709,0.4927651677518123,0.4488968
0.5461108651766241,0.4722111551469115,0.4776382317206233,0.5046366501589997,0.4661128394141697,0.4728711630478323,0.4527969184170939,0.4488968
0.3902563139636009,0.4260562299952045,0.4441699326073524,0.4360228948900009,0.4947113279329196,0.5130860559448396,0.519352894570728,0.4488968
0.4079833467355727,0.4300414501089938,0.4943803810438346,0.4833514812099281,0.5521922301552875,0.3824411318462528,0.4835777320945609,0.4488968
0.5857191462407285,0.4050108229642652,0.3004562458148969,0.4385640155448564,0.4883225046947477,0.4592486902270581,0.5429012898604815,0.4488968
0.2478559644499313,0.3806867800194394,0.4165709704992965,0.4271367135075986,0.4520205034899724,0.479672282897791,0.4862392522079424,0.4488968
0.3556217280506049,0.5358574343154447,0.4116010374928904,0.3119460912795542,0.4701722380879158,0.4633086049439684,0.5331497279380235,0.4488968
0.7874605242650506,0.4556857524650339,0.3159768762153285,0.4433736887811931,0.5207847785754202,0.4579753887932136,0.4647675389369495,0.4488968
0.3239434703347422,0.3995653982807349,0.4640228814603134,0.5293444224041931,0.3864408010820733,0.4694088322753687,0.434431613609027,0.4488968
